stop_id,stop_name,stop_lat,stop_lon,location_type
740000135,Ängelsberg station,59.958462,16.009393,
740000136,Strömsnäsbruk,56.550582,13.731999,
740000137,Rensjön station,68.071716,19.829214,
740000138,Skurup station,55.480071,13.500376,
740000140,Nässjö Centralstation,57.652439,14.693983,
740000141,Bromölla station,56.067341,14.479503,
740000142,Undersåker station,63.314803,13.237891,
740000143,Borgstena station,57.883198,13.014915,
740000144,Luleå Centralstation,65.584090,22.164938,
740000145,Vislanda station,56.786993,14.453581,
740000146,Järvsö station,61.715872,16.172238,
740000147,Ytterån,63.317459,14.170020,
740000148,Lidköpings resec (tåg),58.504528,13.163896,
740000149,Nykvarn station,59.179168,17.430924,
740000150,Boden C/Resecentrum,65.828740,21.706992,
740000151,Abisko Östra station,68.348470,18.829267,
740000152,Väckelsång centrum,56.638334,14.921044,
740000153,Mörsil station,63.308435,13.657357,
740000154,Söderhamn station,61.299600,17.035680,
740000155,Åstorp station,56.133968,12.949186,
740000156,Älvsbyn station,65.678202,20.994585,
740000157,Veinge station,56.553078,13.075414,
740000158,Rättvik station,60.885117,15.115629,
740000159,Viskafors station,57.628557,12.843709,
740000160,Borlänge Centralstation,60.483536,15.425840,
740000161,Kungsbacka station,57.490554,12.079615,
740000162,Grängesberg station,60.076395,15.005464,
740000164,Skillingaryd station,57.428568,14.090788,
740000165,Nälden station,63.348704,14.254307,
740000166,Katrineholm Centralstation,58.996592,16.208325,
740000167,Köping station,59.506671,16.004218,
740000169,Simrishamn station,55.554028,14.351946,
740000170,Eskilstuna Centralstation,59.369486,16.505197,
740000171,Tenhult station,57.705176,14.326399,
740000172,Motala station,58.537486,15.048310,
740000173,Öxnered station,58.359220,12.273696,
740000174,Krokvik station,67.932736,20.066910,
740000175,Fellingsbro station,59.433524,15.592065,
740000176,Karlskoga busstation,59.326793,14.512131,
740000177,Mölltorp centrum,58.493499,14.415142,
740000178,Stöpen Stöpenskolan,58.475321,13.865140,
740000179,Vinslöv station,56.104898,13.916896,
740000180,Mjölby station,58.322982,15.131988,
740000181,Vännäs Resecentrum/Station,63.908689,19.749817,
740000182,Ullared bussterminal,57.136535,12.716637,
740000183,Töreboda station,58.706023,14.128392,
740000184,Sunne station,59.835577,13.149300,
740000185,Höör station,55.937023,13.541399,
740000186,Skinnskatteberg station,59.832576,15.692518,
740000187,Hudiksvall station,61.724494,17.109038,
740000188,Tvååker Centrum,57.041605,12.398459,
740000189,Nybro station,56.742360,15.909170,
740000190,Umeå Centralstation,63.830061,20.266814,
740000191,Trollhättan Centralstation,58.287580,12.299219,
740000192,Kumla station,59.126374,15.140280,
740000194,Laxå station,58.989392,14.616658,
740000195,Sandviken station,60.614347,16.777880,
740000196,Virsbo station,59.872616,16.084065,
740000197,Svängsta centrum,56.263288,14.770939,
740000198,Ljusdal station,61.826855,16.097120,
740000200,Kristianstad Centralstation,56.031667,14.151260,
740000202,Insjön station,60.675343,15.094367,
740000203,Floda station,57.810065,12.361332,
740000205,Mölnlycke station,57.656692,12.117366,
740000206,Kil station,59.505031,13.316342,
740000207,Hindås station,57.704446,12.451227,
740000210,Gävle Centralstation,60.676119,17.151220,
740000211,Landskrona Drottninggatan,55.867897,12.830868,
740000212,Reftele station,57.175797,13.593414,
740000213,Oskarshamn station,57.263261,16.457499,
740000214,Sala station,59.924962,16.605447,
740000215,Mullsjö Station,57.914799,13.881707,
740000216,Mariestad station,58.712104,13.824498,
740000217,Grums station,59.352987,13.113766,
740000218,Hofors station,60.569571,16.266361,
740000219,Hällnäs station,64.305640,19.625940,
740000220,Kramfors station,62.929115,17.778180,
740000221,Arvika station,59.653591,12.591149,
740000222,Kristinehamn station,59.316500,14.108293,
740000223,Gullspång busstation,58.986007,14.098895,
740000224,Träslövsläge kyrka,57.053738,12.279156,
740000225,Tofta station,57.173488,12.300404,
740000226,Åkers styckebruk,59.253156,17.095147,
740000227,Skeppshult station,57.126481,13.360255,
740000228,Krokom station,63.325990,14.448414,
740000229,Riksgränsen station,68.425725,18.127420,
740000230,Karlskrona Centralstation,56.166672,15.585368,
740000231,Habo station,57.906604,14.076784,
740000232,Vaggeryd station,57.498331,14.145133,
740000233,Tanum station,58.713712,11.295263,
740000234,Sennan station,56.771823,12.980033,
740000235,Lessebo station,56.749535,15.259041,
740000238,Rävlanda station,57.654588,12.500422,
740000239,Vindeln Resecentrum/Station,64.202882,19.712689,
740000241,Vänersborg Centralstation,58.377638,12.317816,
740000242,Timrå station,62.486396,17.330549,
740000243,Bollebygd station,57.667229,12.568772,
740000244,Storvik station,60.582156,16.534530,
740000245,Ljung station,57.986611,13.053179,
740000246,Rydöbruk station,56.959368,13.136307,
740000248,Nyåker Affären,63.766996,19.309499,
740000249,Oxelösund centrum,58.669573,17.105557,
740000250,Växjö station,56.876779,14.806789,
740000252,Hok station,57.514182,14.275049,
740000253,Härnösand station,62.635184,17.928637,
740000254,Gällivare C/Resecentrum,67.133537,20.651307,
740000255,Haverdal Haverdalsvägen,56.726809,12.665995,
740000256,Karlsborg busstation,58.530709,14.509637,
740000257,Falkenberg bussterminal,56.902164,12.488206,
740000258,Markaryd station,56.458889,13.593365,
740000260,Eslöv station,55.837715,13.305489,
740000261,Harplinge station,56.744397,12.724785,
740000262,Arboga station,59.397107,15.841061,
740000263,Mellansel station,63.428423,18.307723,
740000265,Nattavaara station,66.753896,20.950842,
740000266,Fagersta Centralstation,59.990463,15.815703,
740000267,Gullbrandstorp,56.704254,12.732562,
740000268,Murjek station,66.484137,20.880716,
740000269,Getinge centrum,56.819166,12.733228,
740000270,Karlholm Karlitplan,60.520209,17.629006,
740000271,Derome station,57.230410,12.319787,
740000272,Sandared station,57.709614,12.792489,
740000273,Valbo Ikea,60.633475,16.988561,
740000274,Torsby station,60.136564,13.002504,
740000275,Nyland ICA,63.006518,17.760399,
740000276,Mariefred Busstation,59.263866,17.230486,
740000277,Ockelbo station,60.891310,16.721029,
740000279,Ellös busstation,58.182917,11.466562,
740000280,Kopparberg station,59.872712,14.986854,
740000282,Jörn station,65.054425,20.030386,
740000283,Ed station,58.913389,11.932942,
740000284,Kungsängen station,59.477882,17.752499,
740000285,Anneberg station,57.539264,12.101244,
740000286,Assberg station,57.494832,12.669702,
740000287,Väse station,59.381611,13.853492,
740000288,Flen station,59.057299,16.588915,
740000289,Smålandstenar station,57.161601,13.415006,
740000290,Tyringe station,56.159791,13.598202,
740000291,Ludvika station,60.149828,15.182649,
740000292,Grebbestad busstation,58.691876,11.253984,
740000293,Frövi station,59.467644,15.363782,
740000294,Bastuträsk station,64.790005,20.041180,
740000295,Osby station,56.379948,13.994255,
740000296,Fjällbacka,58.599656,11.285667,
740000297,Fiskebäckskil,58.243414,11.458565,
740000298,Brastad centrum,58.382069,11.484805,
740000299,Rabbalshede station,58.610027,11.470596,
740000300,Borås Centralstation,57.720838,12.932004,
740000301,Tierp station,60.345326,17.514373,
740000302,Mora station,61.009054,14.560045,
740000303,Djurås station,60.560178,15.138594,
740000306,Ammarnäs,65.957510,16.210914,
740000307,Åmotfors station,59.768950,12.366329,
740000308,Duved station,63.389761,12.917674,
740000309,Bjurholm busstation,63.931991,19.216238,
740000310,Boliden busstation,64.867752,20.384421,
740000311,Malmbäck station,57.577881,14.460441,
740000312,Torup Station,56.957575,13.079870,
740000313,Oskarström station,56.806491,12.971953,
740000314,Skene station,57.488187,12.648616,
740000315,Mölndal station,57.655957,12.018724,
740000316,Borgafjäll,64.835164,15.085059,
740000317,"Bureå Torg, Skellefteå",64.617888,21.200256,
740000318,Burträsk busstation,64.521082,20.661339,
740000319,Hemavan köpcentrum E12,65.820131,15.083720,
740000320,Svenshögen station,58.144868,11.935715,
740000321,Kolbäck station,59.563836,16.232474,
740000322,Gagnef station,60.598796,15.081378,
740000323,Tomelilla station,55.546552,13.948940,
740000324,Gällö station,62.911122,15.229455,
740000325,Ljungaverk station,62.495646,16.067603,
740000326,Kaitum station,67.543804,20.108031,
740000328,Ärla station,59.283043,16.675984,
740000330,Skärhamn torg,57.991227,11.546387,
740000331,Delsbo Torg,61.799536,16.554056,
740000333,Jämjö centrum,56.191968,15.835048,
740000335,Kållered station,57.609928,12.048619,
740000336,Broby busstation,56.253662,14.075196,
740000338,Åtvidaberg station,58.203692,16.002328,
740000339,Berghem station,57.466980,12.598371,
740000340,Åhus Järnvägsgatan,55.927021,14.302792,
740000342,Rydaholm station,56.986254,14.311449,
740000343,Brösarp bussterminal,55.727803,14.096775,
740000344,Kisa station,57.985383,15.633808,
740000345,Kilafors station,61.230969,16.570443,
740000346,Degeberga Skaddevägen,55.837502,14.090144,
740000347,Storfors station,59.533169,14.271409,
740000348,Hultsfred station,57.486757,15.846746,
740000349,Jörlanda,57.987145,11.830249,
740000350,Hofors centrum,60.544962,16.286548,
740000351,Vimmerby station,57.663155,15.858268,
740000353,Fritsla station,57.557844,12.789918,
740000354,Bergfors station,68.148675,19.781075,
740000355,Smögen busstation,58.357214,11.230458,
740000356,Kungshamn busstation,58.361434,11.249397,
740000357,Hunnebostrand,58.439796,11.304491,
740000358,Grundsund,58.213187,11.421947,
